County,Market Name,Market Location,Address Line 1,City,State,Zip,Contact,Phone,Market Link,Operation Hours,Operation Season,Operating Months,FMNP,SNAP,FCC Issued,FCC Accepted,Latitude,Longitude,Georeference
Wayne,Lyons Farmers' Market,Village Square 32 Church St.,32 Church Street,Lyons,NY,14489,Linda Guest,3158821521,,Sat 8am-12pm,June 18-October 29,M,Y,N,N,Y,43.06336,-76.99243,"(43.06336, -76.99243)"
Cayuga,Owen Orchards Farm Stand,8174 Grant Ave. Weedsport,8174 Grant Ave.,Weedsport,NY,13166,Gordon Tripp,3152524097,http://www.owenorchard.com,"Mon-Fri 9am-7pm, Sat 9am-6pm  Sun 9am-5pm","Aug 1-March 31, 2023",M/X/W,Y,Y,N,Y,43.01314,-76.50749,"(43.01314, -76.50749)"
Niagara,Niagara Falls City Wednesday Market,19th St. & Pine Ave.,1800-1808 Pine Ave,Niagara Falls,NY,14301,Alfonse Muto,7169984107,,Wednesday  9am-3pm,Year-round,YR,N,N,N,Y,43.09513,-79.03972,"(43.09513, -79.03972)"
Erie,Downtown Buffalo Country Thursday Market,350 Main St. outside btwn Court & Church Streets,350 Main St. outside btwn Court & Church Streets,Buffalo,NY,14203,Caeley Robinson,7168563150,https://buffaloplace.com/play/our-events/#countrymarket,Thu 10am-2:30pm,May 12-October 20,P/M,Y,Y,N,Y,42.8844,-78.8754,"(42.8844, -78.8754)"
Columbia,Copake Hillsdale Farmers' Market,Roeliff Jansen Park 9140 Route 22,9140 Route 22,Hillsdale,NY,12529,Diane Creed,5183251430,http://www.copakehillsdalefarmersmarket.com,Sat 9am-1pm,May 21-November 19,P/M,Y,Y,N,Y,42.17077,-73.51771,"(42.17077, -73.51771)"
Saratoga,Saratoga WINTER Farmers' Market,"Wilton Mall 3065 NY-50 Saratoga Springs, Food Court/Bow Tie Cinemas entrance",3065 NY-50,Saratoga Springs,NY,12866,Toni Nastasi,5189269962,http://www.saratogafarmersmarket.org,Saturday  9:30am-1:30pm,November 5-April 29,X/W/P,N,Y,Y,Y,43.06464,-73.79044,"(43.06464, -73.79044)"
New York,Stuyvesant Town Greenmarket,E 14th St Loop & Ave A South end of Oval,1 Stuyvesant Oval,New York,NY,10009,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket,Sun 9:30am-4pm,May 15-December 18,P/M/X,Y,Y,N,Y,40.73146,-73.97875,"(40.73146, -73.97875)"
New York,Columbia Thu Greenmarket,Broadway btwn W 114th &  W 115th Sts,Broadway and West 115th St,New York,NY,10027,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/manhattan/columbia-th,Thu 8am-5pm,Year-round,YR,Y,Y,N,Y,40.80731,-73.9643,"(40.80731, -73.9643)"
Monroe,Brightly's Farm Market,525 Drake Rd.  Hamlin,525 Drake Rd.,Hamlin,NY,14464,Betsy Brightly,5856364337,http://www.brightlyfarms.com,"Daily  9am-5pm, Friday  9am-8pm, Sat  9am-6pm",Year-round,YR,N,N,N,Y,43.29471,-77.94344,"(43.29471, -77.94344)"
Suffolk,Patchogue (Sun) Farmers' Market,"Division & Ocean St., Patchogue LIRR, East Side Parking Lot",210 S. Ocean Ave.,Patchogue,NY,11772,Ethel Terry,6313233653,http://www.longislandgrowersmarket.com,Sun 9am-2pm,June 5-November 6,M,Y,N,N,Y,40.76165,-73.01337,"(40.76165, -73.01337)"
