County,License Number,Operation Type,Nursery Size,Greenhouse Size,Trade Name,Owner Name,Business Phone,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Georeference
ALLEGANY,645157,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",S&S GREENHOUSE,SAM GIROD,585-567-4719,10470,COUNTY ROUTE 23,,,FILLMORE,NY,14735,
ONEIDA,646130,Nursery Stock Only,10 Acres or Less,,BONNIE PLANTS,BONNIE PLANTS,,1113,HERKIMER ROAD,,,UTICA,NY,13502,POINT (-75.183766 43.110619)
RENSSELAER,645080,Nursery Stock Only,10 Acres or Less,,CORNELL FARM,DALE CORNELL,518-528-8422,19 34,TAMARAC,,,JOHNSONVILLE,NY,12094,
SARATOGA,646155,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",DAYRIDGE FARM LLC,LAURA LIND,518-369-2889,90,CONDON ROAD,,,STILLWATER,NY,12170,
ERIE,645042,Nursery Stock Only,11-100 Acres,,CHESTNUT RIDGE NURSERY INC,ROBERT A SMITH,716-725-8043,532,MILL STREET,,,SPRINGVILLE,NY,14141,
ERIE,146383,Nursery Stock Only,10 Acres or Less,,FOREVERGREENS,ROSIER JOHN C,516-560-8004,12130,SAVAGE ROAD,,,SARDINIA,NY,14134,
ERIE,646048,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",WILLIAM P LINDSTROM,WILLIAM P LINDSTROM,716-649-5293,5823,SMITH ROAD,,,HAMBURG,NY,14075,POINT (-78.866174 42.7286)
GREENE,197051,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",STORY FARMS LLC,STORY FARMS LLC,518-678-9716,4640,ROUTE 32,,,CATSKILL,NY,12414,POINT (-73.985606 42.191306)
JEFFERSON,221936,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",GRAYS FLOWER SHOP INC,GRAYS FLOWER SHOP INC,315-788-8441,314,SOUTH JAMES STREET,,,CARTHAGE,NY,13619,POINT (-75.603705 43.978663)
MADISON,645732,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",CREEKSIDE GREENHOUSE,ADAM E HERSHBERGER,,4557,SOUTH LEBANON ROAD,,,EARLVILLE,NY,13332,POINT (-75.678075 42.767845)
