,Resource Name,County,National Register Date,National Register Number,Longitude,Latitude,Georeference,zip
0,Innisfree,Dutchess,09/03/2019,18NR00060,-73.7497102115,41.759622547,POINT (-73.7497102115 41.759622547),12545
1,Overlook,Herkimer,07/19/2010,09NR06072,-74.8609460465,43.0484952649,POINT (-74.8609460465 43.0484952649),13365
2,School 13,Erie,03/15/2005,03NR05199,-78.8699293056,42.8890760013,POINT (-78.8699293056 42.8890760013),14203
3,Pier 57,New York,08/11/2004,04NR05213,-74.0103076801,40.7435681794,POINT (-74.0103076801 40.7435681794),100014
4,Clark House,Dutchess,11/26/1982,90NR00389,-73.9048550211,41.6736613196,POINT (-73.9048550211 41.6736613196),12603
5,University Club,New York,04/16/1980,90NR00663,-73.9756743982,40.7614814953,POINT (-73.9756743982 40.7614814953),10035
6,Loew's State Theater,Onondaga,05/02/1977,90NR02110,-76.1529379517,43.0473321629,POINT (-76.1529379517 43.0473321629),13202
7,Emmanuel Lutheran Church of Harlemville and Cemetery,Columbia,01/24/2002,01NR01797,-73.581182432,42.2654768348,POINT (-73.581182432 42.2654768348),12529
8,Northville Historic District,Fulton,05/07/2014,14NR06530,-74.1735415673,43.2245085385,POINT (-74.1735415673 43.2245085385),12134
9,Eleventh Street Methodist-Episcopal Chapel,New York,12/30/2011,11NR06261,-73.9798041036,40.7278680305,POINT (-73.9798041036 40.7278680305),10009
10,The Pink House,Allegany,03/03/2021,20NR00091,-77.9504965533,42.1168718662,POINT (-77.9504965533 42.1168718662),14895
11,"Roosevelt, James Alfred, Estate",Nassau,05/17/1979,90NR01951,-73.5075187534,40.8837095101,POINT (-73.5075187534 40.8837095101),11771
12,LeRay Mansion,Jefferson,07/11/1974,90NR01146,-75.7626841122,44.0499297306,POINT (-75.7626841122 44.0499297306),13603
13,Albany Institute of History and Art,Albany,07/12/1976,90NR01636,-73.760336551,42.6557820165,POINT (-73.760336551 42.6557820165),12203
14,"Wing, Asa and Caroline, House",Oswego,12/04/2001,01NR01864,-76.1634079359,43.4211347555,POINT (-76.1634079359 43.4211347555),13131
15,Tuthill-Green House,Cayuga,02/24/1995,95NR00798,-76.4213110236,42.7065520514,POINT (-76.4213110236 42.7065520514),13118
16,"Rohr, George, Saloon and Boardinghouse",Westchester,12/01/1978,90NR02505,-73.8611780265,41.1622795714,POINT (-73.8611780265 41.1622795714),10562
17,Farmers' and Merchants' Bank/Geneva Saving Bank,Ontario,02/28/2008,07NR05810,-76.9836271306,42.8674661403,POINT (-76.9836271306 42.8674661403),14456
18,Sawyer Farmhouse,Orange,06/30/2005,04NR05386,-74.3794870134,41.3749015883,POINT (-74.3794870134 41.3749015883),10924
19,Cobleskill Historic District,Schoharie,09/18/1978,90NR02684,-74.4845630564,42.6770742579,POINT (-74.4845630564 42.6770742579),12043
20,"Ellington, Edward Kennedy Duke""",New York,05/11/1976,90NR00707,-73.941370304,40.8323466025,POINT (-73.941370304 40.8323466025),10032
21,Fernwood Park Historic District,Monroe,06/21/2010,09NR06031,-77.5624501646,43.1802136341,POINT (-77.5624501646 43.1802136341),14609
22,"Hovey, Charles C., Residence and Strong Leather Company Mill",Chenango,12/06/1996,96NR01100,-75.4826662997,42.2959482082,POINT (-75.4826662997 42.2959482082),13733
23,Balloon Farm,Herkimer,04/23/1998,96NR00965,-75.0789872191,43.0405655889,POINT (-75.0789872191 43.0405655889),13340
24,Burden Iron Works Office Building,Rensselaer,03/16/1972,90NR00980,-73.6990262975,42.7098775118,POINT (-73.6990262975 42.7098775118),12180
25,The Maples,Madison,11/02/1987,90NR01416,-75.8359492668,42.9218480416,POINT (-75.8359492668 42.9218480416),13035
26,Main Street Historic District (Cold Spring Harbor),Suffolk,09/26/1985,90NR01831,-73.4548086191,40.8721758543,POINT (-73.4548086191 40.8721758543),11724
27,North Street Friends Meetinghouse (Brick Meetinghouse),Cayuga,12/09/2005,05NR05510,-76.6512075818,42.7616379939,POINT (-76.6512075818 42.7616379939),13026
28,Baker-Merrill House,Washington,07/26/2006,06NR05583,-73.5506162475,42.9904288896,POINT (-73.5506162475 42.9904288896),12154
29,Dowden Tannery,Suffolk,09/26/1985,90NR01816,-73.4504337725,40.8374621286,POINT (-73.4504337725 40.8374621286),11743
30,Clark-Lester House,Erie,11/30/1999,99NR01534,-78.6681980567,42.9004715351,POINT (-78.6681980567 42.9004715351),14086
31,Loew's King Theatre,Kings,08/22/2012,12NR06356,-73.9573421557,40.645995398,POINT (-73.9573421557 40.645995398),11234
32,Woodbine-Palmetto-Gates Historic District,Queens,09/30/1983,90NR01609,-73.9041551419,40.7067307523,POINT (-73.9041551419 40.7067307523),11385
33,Mount Pleasant,Genesee,08/09/1984,90NR00522,-78.346722489,43.0131725057,POINT (-78.346722489 43.0131725057),14036
34,Parkside Subdivision (West) Historic District,Erie,12/10/1986,89NR00003,-78.8663106284,42.9376802434,POINT (-78.8663106284 42.9376802434),14216
35,German Evangelical Lutheran Church of St. Mark,New York,04/15/2004,03NR05087,-73.9871932139,40.7270734136,POINT (-73.9871932139 40.7270734136),10003
36,Queensboro Bridge,New York,12/20/1978,90NR00948,-73.9507210879,40.7551995665,POINT (-73.9507210879 40.7551995665),10044
37,"73 Grove Street, House at",Nassau,01/23/2008,07NR05778,-73.6671522548,40.6631532474,POINT (-73.6671522548 40.6631532474),11563
38,BEAR MOUNTAIN INN,Rockland,08/22/2002,02NR01932,-73.9894909544,41.3131249589,POINT (-73.9894909544 41.3131249589),10922
39,"Ninth Street, Building at 104",Nassau,11/14/1978,91NR00208,-73.6382124054,40.7270295402,POINT (-73.6382124054 40.7270295402),11530
40,Christ Episcopal Church,Westchester,04/23/1987,90NR02525,-73.859337833,41.0749534033,POINT (-73.859337833 41.0749534033),10591
41,Copake United Methodist Church and Copake Cemetery,Columbia,06/27/2007,07NR05730,-73.5511095771,42.1050065751,POINT (-73.5511095771 42.1050065751),12516
42,Cornell Farmhouse,Queens,07/24/1979,90NR01581,-73.7205875433,40.7482747634,POINT (-73.7205875433 40.7482747634),11001
43,Gowanus Canal Historic District,Kings,,12NR06417,-73.9913430317,40.6759957342,POINT (-73.9913430317 40.6759957342),11231
44,Farmer's National Bank & W.H. Hughes Slate Company Office,Washington,06/13/2014,14NR06536,-73.2606015405,43.4078159367,POINT (-73.2606015405 43.4078159367),12832
45,Chappell Farmhouse,Madison,11/02/1987,90NR01405,-75.8563903349,42.9477621986,POINT (-75.8563903349 42.9477621986),13035
46,Pleasant Valley Wine Company,Steuben,11/18/1980,90NR02015,-77.2540421827,42.4012616398,POINT (-77.2540421827 42.4012616398),14840
47,Monroe Motor Car Company,Erie,,19NR00016,-78.8591565713,42.921065701,POINT (-78.8591565713 42.921065701),14213
48,Sherman House,Warren,11/07/1977,90NR02696,-73.6502434711,43.312162884,POINT (-73.6502434711 43.312162884),12801
