"zip","city","county","pop"
"11368","Corona","Queens","112088"
"11385","Ridgewood","Queens","107796"
"11211","Brooklyn","Kings","103123"
"11208","Brooklyn","Kings","101313"
"10467","Bronx","Bronx","101255"
"11236","Brooklyn","Kings","100844"
"11226","Brooklyn","Kings","99558"
"11373","Elmhurst","Queens","94437"
"11234","Brooklyn","Kings","93534"
"11220","Brooklyn","Kings","93170"
"10456","Bronx","Bronx","92717"
"11214","Brooklyn","Kings","92644"
"10025","New York City","New York","92251"
"11207","Brooklyn","Kings","91083"
"10314","Staten Island","Richmond","89792"
"11219","Brooklyn","Kings","89371"
"11206","Brooklyn","Kings","88422"
"11230","Brooklyn","Kings","86139"
"10458","Bronx","Bronx","85620"
"11377","Woodside","Queens","83825"
"11221","Brooklyn","Kings","83322"
"11229","Brooklyn","Kings","83119"
"10453","Bronx","Bronx","81716"
"11223","Brooklyn","Kings","81388"
"11355","Flushing","Queens","80987"
"11233","Brooklyn","Kings","79439"
"10468","Bronx","Bronx","78881"
"11235","Brooklyn","Kings","78775"
"10029","New York City","New York","76713"
"11204","Brooklyn","Kings","76395"
"11203","Brooklyn","Kings","76085"
"10462","Bronx","Bronx","75714"
"11212","Brooklyn","Kings","75605"
"10452","Bronx","Bronx","75452"
"10466","Bronx","Bronx","75039"
"10457","Bronx","Bronx","74822"
"10002","New York City","New York","74479"
"11375","Forest Hills","Queens","73034"
"11218","Brooklyn","Kings","72413"
"10469","Bronx","Bronx","72384"
"10463","Bronx","Bronx","71132"
"11215","Brooklyn","Kings","69873"
"11691","Far Rockaway","Queens","68543"
"11706","Bay Shore","Suffolk","68401"
"10472","Bronx","Bronx","67948"
"11746","Huntington Station","Suffolk","67863"
"11209","Brooklyn","Kings","67782"
"11213","Brooklyn","Kings","67056"
"10977","Spring Valley","Rockland","66138"
"10027","New York City","New York","64988"
"11210","Brooklyn","Kings","64665"
"11434","Jamaica","Queens","64304"
"11432","Jamaica","Queens","64299"
"14850","Ithaca","Tompkins","64221"
"11717","Brentwood","Suffolk","63492"
"11201","Brooklyn","Kings","63378"
"10032","New York City","New York","63214"
"11372","Jackson Heights","Queens","62854"
"10023","New York City","New York","62541"
"10701","Yonkers","Westchester","61604"
"10312","Staten Island","Richmond","61392"
"11435","Jamaica","Queens","59605"
"10031","New York City","New York","59586"
"10473","Bronx","Bronx","59579"
"10460","Bronx","Bronx","59432"
"10128","New York City","New York","58636"
"10033","New York City","New York","58349"
"10009","New York City","New York","58293"
"10024","New York City","New York","58102"
"11216","Brooklyn","Kings","57786"
"11550","Hempstead","Nassau","57639"
"11225","Brooklyn","Kings","56859"
"11238","Brooklyn","Kings","55210"
"12550","Newburgh","Orange","55149"
"10003","New York City","New York","53977"
"14221","Buffalo","Erie","53948"
"10306","Staten Island","Richmond","53877"
"11354","Flushing","Queens","53684"
"12180","Troy","Rensselaer","53464"
"10016","New York City","New York","52886"
"11758","Massapequa","Nassau","52783"
"14580","Webster","Monroe","52585"
"10950","Monroe","Orange","50979"
"10011","New York City","New York","49949"
"10461","Bronx","Bronx","49690"
"14094","Lockport","Niagara","49257"
"11237","Brooklyn","Kings","48876"
"10459","Bronx","Bronx","48780"
"11419","South Richmond Hill","Queens","48369"
"10451","Bronx","Bronx","48136"
"10940","Middletown","Orange","48021"
"11420","South Ozone Park","Queens","47470"
"11590","Westbury","Nassau","47245"
"11205","Brooklyn","Kings","46843"
"10028","New York City","New York","46768"
"11772","Patchogue","Suffolk","45991"
"11224","Brooklyn","Kings","45795"
"10019","New York City","New York","45498"
"10040","New York City","New York","44800"
"11365","Fresh Meadows","Queens","44738"
"11003","Elmont","Nassau","44572"
"11757","Lindenhurst","Suffolk","44368"
"11228","Brooklyn","Kings","44348"
"10021","New York City","New York","44280"
"14120","North Tonawanda","Niagara","44119"
"10465","Bronx","Bronx","43671"
"11374","Rego Park","Queens","43507"
"11756","Levittown","Nassau","43446"
"11520","Freeport","Nassau","43438"
"11580","Valley Stream","Nassau","42990"
"10475","Bronx","Bronx","42818"
"14075","Hamburg","Erie","42780"
"10305","Staten Island","Richmond","42726"
"12065","Clifton Park","Saratoga","42701"
"12603","Poughkeepsie","Dutchess","42540"
"10034","New York City","New York","42399"
"13760","Endicott","Broome","42372"
"10952","Monsey","Rockland","42063"
"10455","Bronx","Bronx","41951"
"11743","Huntington","Suffolk","41878"
"11217","Brooklyn","Kings","41813"
"11413","Springfield Gardens","Queens","41650"
"11040","New Hyde Park","Nassau","41592"
"14450","Fairport","Monroe","41546"
"14215","Buffalo","Erie","41435"
"12601","Poughkeepsie","Dutchess","41392"
"10801","New Rochelle","Westchester","41370"
"11421","Woodhaven","Queens","41251"
"11367","Flushing","Queens","41207"
"14609","Rochester","Monroe","41168"
"10304","Staten Island","Richmond","41112"
"13440","Rome","Oneida","41014"
"10583","Scarsdale","Westchester","40851"
"14150","Tonawanda","Erie","40850"
"14224","Buffalo","Erie","40815"
"11801","Hicksville","Nassau","40288"
"11704","West Babylon","Suffolk","39981"
"10705","Yonkers","Westchester","39944"
"12866","Saratoga Springs","Saratoga","39689"
"11357","Whitestone","Queens","39407"
"14701","Jamestown","Chautauqua","39214"
"10573","Port Chester","Westchester","38816"
"10026","New York City","New York","38585"
"11378","Maspeth","Queens","38524"
"11418","Richmond Hill","Queens","38405"
"10301","Staten Island","Richmond","38280"
"11554","East Meadow","Nassau","38029"
"11379","Middle Village","Queens","37991"
"11231","Brooklyn","Kings","37874"
"11412","Saint Albans","Queens","37857"
"13021","Auburn","Cayuga","37841"
"11779","Ronkonkoma","Suffolk","37837"
"11561","Long Beach","Nassau","37726"
