County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Georeference
Suffolk,751269,Store,JAC,ALISAN 2 CORP,MOBIL GAS,153,MIDDLE COUNTRY RD,,,RIDGE,NY,11961,0,POINT (-72.846267 40.908721)
Westchester,751265,Store,JAC,CHESTNUT MARTS INC,CHESTNUT MARKETS,87,ROUTE 6,,,BALDWIN PLACE,NY,10505,0,POINT (-73.758264 41.344493)
Westchester,751264,Store,JAC,CHESTNUT MARTS INC,CHESTNUT MARKETS,680,MAIN ST,,,MOUNT KISCO,NY,10549,0,
Tompkins,751263,Store,JAC,MIRABITO HOLDINGS INC,MIRABITO  #57,1321,DRYDEN RD,,,ITHACA,NY,14850,0,POINT (-76.408462 42.468728)
Nassau,751262,Store,JAC,SUSHILUX CORP,SUSHI AT HOLIDAY FARMS,8285,JERICHO TPKE,,,WOODBURY,NY,11797,0,POINT (-73.466344 40.816358)
Onondaga,751258,Store,JAC,ALHARIRI HASAN,SHAM DELI & GROCERY,1215,LODI ST,,,SYRACUSE,NY,13203,0,POINT (-76.145176 43.058911)
Kings,751256,Store,A,18 AVE ORGANIC 1 CORP,18 AVE ORGANIC 1,6902,18TH AVE,,,BROOKLYN,NY,11204,0,POINT (-73.992615 40.616723)
Queens,751255,Store,JAC,48ST GROCERY CORP,48ST GROCERY,48-16,BROADWAY,,,ASTORIA,NY,11103,0,POINT (-73.912184 40.755772)
Queens,751254,Store,A,MINHUI NY INC,MINHUI NY,42-14,MAIN ST,,,FLUSHING,NY,11355,1200,POINT (-73.828114 40.754976)
Kings,751253,Store,A,KING CENTRAL CONVENIENCE CORP,KING CENTRAL CONVENIENC,427,CENTRAL AVENUE,,,BROOKLYN,NY,11221,0,POINT (-73.915361 40.692512)
Madison,751251,Store,JAC,STEWARTS SHOPS CORP,STEWARTS SHOP #475,2463,ROUTE 12B,,,HAMILTON,NY,13346,0,POINT (-75.555798 42.843808)
Niagara,751244,Store,JAC,PROFUEL NUTRITION LLC,PROFUEL NUTRITION,2383,NIAGARA FALLS BLVD STE 2,,,NIAGARA FALLS,NY,14304,0,POINT (-78.918374 43.096952)
Kings,751243,Store,JAC,WILD SUSHI CORP,WILD SUSHI,72,WYCKOFF AVE,,,BROOKLYN,NY,11237,0,POINT (-73.920139 40.704871)
Bronx,751242,Store,JAC,IGNITE USA INC,PELHAM SUPERMARKET,706,LYDIG AVE,,,BRONX,NY,10462,0,POINT (-73.86733 40.854494)
Suffolk,751240,Store,JAC,SNS OF LI CORP,FOREST PORK STORE,380,E JERICHO TPKE,,,HUNTINGTON STATION,NY,11746,3000,POINT (-73.396821 40.83048)
Westchester,751239,Store,JACDK,439 SONS BEVERAGE CORP,SHANNON BEVERAGES,437,NORTH AVE,,,NEW ROCHELLE,NY,10801,5000,POINT (-73.785471 40.917111)
Nassau,751237,Store,JAD,JF CLARKE CORP,JF CLARKE FRZN SFD,167,FRANKLIN AVE,,,FRANKLIN SQUARE,NY,11010,1200,POINT (-73.678082 40.703404)
Bronx,751235,Store,A,HOBART SMOKE SHOP & GROCERY INC,HOBART SMOKE SHOP & GRO,1823A,HOBART AVENUE,,,BRONX,NY,10461,0,POINT (-73.831428 40.847897)
Orange,751234,Store,JABC,PEARL RIVER PASTRY LLC,PEARL RIVER PASTRY,54,TURNER DR,,,MIDDLETOWN,NY,10940,0,POINT (-74.37998 41.467081)
Wyoming,751233,Store,JAC,DOMES INC,DOMES COUNTRY STORE,560,MAIN STREET,,,ARCADE,NY,14009,0,POINT (-78.437515 42.533603)
Westchester,751231,Store,JAC,TEPEYAC DELI AND GROCERY CORPORAT,TEPEYAC DELI AND GROCER,202,ELM STREET,,,YONKERS,NY,10701,0,POINT (-73.887814 40.932698)
Kings,751229,Store,JAC,SISTER SEAFOOD CORP,OMEGA SEA WORLD,93,ROCKAWAY PARKWAY,,,BROOKLYN,NY,11212,0,POINT (-73.923441 40.664102)
Ulster,751228,Store,JABC,HUDSON VALLEY BAKERY INC,HUDSON VALLEY BAKERY,55,WASHINGTON AVE,,,KINGSTON,NY,12401,0,POINT (-74.015949 41.925407)
Richmond,751227,Store,JAC,NEW SANTINOS GOURMET DELI CORP,NEW SANTINOS GOURMET DE,409,FOREST AVE,,,STATEN ISLAND,NY,10301,0,POINT (-74.103015 40.630882)
Bronx,751226,Store,JAC,Y&J LARA GROCERY CORP,Y&J LARA GROCERY,3945,CARPENTER AVE,,,BRONX,NY,10466,0,POINT (-73.863784 40.88791)
Onondaga,751225,Store,JAC,LN HERRMANN INC,BIG M SENECA KNOLLS,7252,STATE FAIR BLVD,,,SYRACUSE,NY,13209,0,POINT (-76.286756 43.121392)
Kings,751223,Store,JAC,ZAHRA HALAL MEAT I CORP,ZAHRA HALAL MEAT,6926,5TH  AVE,,,BROOKLYN,NY,11209,0,POINT (-74.021251 40.632887)
Suffolk,751219,Store,JAC,MANOORIE FOOD INC,7 ELEVEN STORE #38103A,2320,UNION BLVD,,,BAY SHORE,NY,11706,0,POINT (-73.227593 40.730916)
Suffolk,751218,Store,JAC,FRESHFACTOR INC,FRESH FACTOR,4603,MIDDLE COUNTRY RD,,,SHIRLEY,NY,11967,0,POINT (-72.786543 40.928126)
Suffolk,751217,Store,JAC,MALCZEWSKI AGNIESZKA,AGNES'S PIEROGIES,4603,MIDDLE COUNTRY RD,,,CALVERTON,NY,11933,0,POINT (-72.786543 40.928126)
New York,751216,Store,JAC,HAMS CATERING INC,HAMS CATERING,1446,2ND AVE,,,NEW YORK,NY,10075,20,POINT (-73.956272 40.771653)
New York,751215,Store,JAC,JINGRI INC,JINGRI,1507,YORK AVE,,,NEW YORK,NY,10075,20,POINT (-73.950044 40.771923)
Kings,751213,Store,A,URBAN MARKET CORP,URBAN MARKET,1212,AVENUE M,,,BROOKLYN,NY,11230,1500,POINT (-73.962115 40.617771)
