LOCAL HEALTH UNIT,OPERATION NAME,ADDRESS,CITY,STATE,ZIP,MUNICIPALITY,COUNTY,VENDOR TYPE,CREATION DATE,LOCATION
MONROE,THE JOINT,1712 NORTH LAKE  ROAD,HAMLIN,NY,14464,HAMLIN,MONROE,TOBACCO RETAIL,11/10/2020,"1712 NORTH LAKE  ROAD
HAMLIN, NY 14464
(43.29516601000006, -77.92043201499996)"
NASSAU,BURN,3248 RAILROAD AVENUE,WANTAGH,NY,11793,HEMPSTEAD,NASSAU,OTHER,11/10/2020,"3248 RAILROAD AVENUE
WANTAGH, NY 11793
(40.67258698400008, -73.50956401499997)"
NYC,KEAP ST GOURMET DELI,332 KEAP STREET,BROOKLYN,NY,11211,BROOKLYN,NEW YORK CITY,DELICATESSEN,11/10/2020,"332 KEAP STREET
BROOKLYN, NY 11211
(40.70874001900006, -73.95467400299998)"
NYC,SMS CS LLC,813 BROADWAY,NEW YORK,NY,10003,MANHATTAN,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"813 BROADWAY
NEW YORK, NY 10003
(40.73297000500003, -73.99132999299997)"
NYC,THE CITY VAPER LTD,2920 23RD AVENUE,ASTORIA,NY,11105,QUEENS,NEW YORK CITY,OTHER,11/10/2020,"2920 23RD AVENUE
ASTORIA, NY 11105
(40.774514992000036, -73.91342799799997)"
ONEIDA,PUFF & STUFF,333 GENESEE ST,,NY,,UTICA,ONEIDA,OTHER,11/10/2020,"333 GENESEE ST, NY
(43.096149998000044, -75.24146998099997)"
ONEIDA,SUNOCO,13180 SR 12,,NY,,BOONVILLE,ONEIDA,CONVENIENCE/GAS,11/10/2020,"13180 SR 12, NY
(43.47706998900003, -75.31765997199994)"
ROCKLAND,EZ FOOD & NEWZ,41 ROUTE 59,NYACK,NY,10960,CLARKSTOWN,ROCKLAND,CONVENIENCE STORE,11/10/2020,"41 ROUTE 59
NYACK, NY 10960
(41.093504997000025, -73.93467201599998)"
ROCKLAND,SHELL - MONSEY,83 ROUTE 59,MONSEY,NY,10952,RAMAPO,ROCKLAND,CONVENIENCE/GAS,11/10/2020,"83 ROUTE 59
MONSEY, NY 10952
(41.107245996000074, -74.06689603499996)"
SUFFOLK,TAVARAS DELI,198 W MAIN ST,,NY,,BROOKHAVEN,SUFFOLK,DELICATESSEN,11/10/2020,"198 W MAIN ST, NY
(42.943130016000055, -74.20042000399997)"
SCHENECTADY,ADEEB'S DELI & GROCERY,766 EASTERN  AVENUE,SCHENECTADY,NY,12308,SCHENECTADY,SCHENECTADY,CONVENIENCE STORE,11/10/2020,"766 EASTERN  AVENUE
SCHENECTADY, NY 12308
(42.812700017000054, -73.92990296399995)"
ERIE,TOPS EXPRESS # 215,4250 MCKINLEY  PARKWAY,HAMBURG,NY,14075,HAMBURG,ERIE,CONVENIENCE/GAS,11/10/2020,"4250 MCKINLEY  PARKWAY
HAMBURG, NY 14075
(42.768145005000065, -78.81387198299996)"
NYC,HOLLIS ISLAND CORP,203-33 HOLLIS AVENUE,JAMAICA,NY,11412,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"203-33 HOLLIS AVENUE
JAMAICA, NY 11412
(40.70674298500006, -73.75428044499995)"
CATTARAUGUS,KWIK FILL #M0012,66 S. MAIN ST.,FRANKLINVILLE,NY,14737,FRANKLINVILLE,CATTARAUGUS,GAS STATION,11/10/2020,"66 S. MAIN ST.
FRANKLINVILLE, NY 14737
(42.33083500600003, -78.45980002499994)"
ROCKLAND,COUNTRY DELI,661  ORANGEBURG ROAD,PEARL RIVER,NY,10965,ORANGETOWN,ROCKLAND,DELICATESSEN,11/10/2020,"661  ORANGEBURG ROAD
PEARL RIVER, NY 10965
(41.05750698600008, -73.99283202999999)"
WESTCHESTER,"DOMINIC'S SIMPLY THE BEST, INC.",2074 BOSTON POST ROAD,LARCHMONT,NY,10538,MAMARONECK,WESTCHESTER,OTHER,11/10/2020,"2074 BOSTON POST ROAD
LARCHMONT, NY 10538
(40.92929808900004, -73.75106018199995)"
WESTCHESTER,CELTIC SMOKE INC.,1568 CENTRAL PARK AVENUE,YONKERS,NY,10710,YONKERS,WESTCHESTER,OTHER,11/10/2020,"1568 CENTRAL PARK AVENUE
YONKERS, NY 10710
(40.95266501000003, -73.84324003699999)"
CHEMUNG,RITE AID #10887 - MT ZOAR,209 MT. ZOAR STREET,ELMIRA,NY,14904,ELMIRA,CHEMUNG,PHARMACY,11/10/2020,"209 MT. ZOAR STREET
ELMIRA, NY 14904
(42.07895001500003, -76.80386997599999)"
ALBANY,DOLLAR GENERAL STORE # 19911,805 HELDERBERG  TRAIL,EAST BERNE,NY,12059,BERNE,ALBANY,DISCOUNT STORE,11/10/2020,"805 HELDERBERG  TRAIL
EAST BERNE, NY 12059
(42.61305013600003, -74.06720135899997)"
